Apartment,sqft_Floor_Area,Bedrooms,Attached_Bathrooms,Balcony,Pantry_and_Kitechen,Living_area_Launch,Made_s_room,Washing_Room,Store_Room,A_C,TwentyFour_hours_Security,Swimming_pool,Gym,Roof_Terrace,Location,Car_parkings,price_Million
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1222,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Kotahena,3,26.78571429
2 Bedroom Apartment for Sale in One Galle Face...,1280,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Kotahena,3,26.78571429
SHANGRI-LA Two Bedroom Apartment For Sale,1230,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Kotahena,3,26.78571429
"Altair, 03 Bedroom Unfurnished Appartment for...",1290,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,24.10714286
CINNAMON LIFE Three Bedroom Apartment for sale...,1214,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,23.57142857
Best Price | 2 bedroom large layout | furnished...,1206,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,23.25
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1230,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,22.5
"On320, 02 Bedroom Fully Furnished Apartment For...",1215,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,21.96428571
Cinnamon Life Fully Furnished 2 Bed Apartment...,1250,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,21.42857143
55 Million value Apartment selling for 50 Million...,1300,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,21.42857143
3bed with 2 car parks at On320,1250,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,21.42857143
Brand New 02 Bedroom Untouched Apartment for sale...,1224,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Kotahena,3,21.42857143
Best Price | 2 bedroom large layout | furnished...,1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.5
"Shangril-La, 02 Bedroom Unfurnished Apartment...",1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.63
OnThree20 03 BedRoom Furnished Apartment for Sale...,900,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.12
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,29.46428571
3bed with 2 car parks at On320,1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,29.46428571
Furnished Brand New - 3 Bedrooms At Altair,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,29.46428571
Colombo 1 One Galle Face 4BR Apartment F...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,28.92857143
SHANGRI-LA Two Bedroom Apartment For Sale,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,28.92857143
"447 Luna Tower - Union Place, Colombo 02 | Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,28.92857143
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,28.39285714
2BR Quality Modern Luxury Living at the Heart...,1150,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
Apartment for Sale in Shangri-la Residence / One...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
3bed with 2 car parks at On320,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
Beira / Ocean View Luxury Apartment at Capitol...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
447 Luna Tower - Type C2 (2 bedrooms),1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.85714286
"Shangril-La, 02 Bedroom Unfurnished Apartment...",1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.32142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.32142857
Apartment for Sale - The Residences at One Galle...,1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,27.32142857
Two bedrooms apartment for sale in Shangri-la...,1170,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Colombo.02 Shangri La 02 Bedroom Apartment For...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
OnThree20 - 04 Bedroom Apartment for Sa...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
55 Million value Apartment selling for 50 Million...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1080,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Shangri La Apartment 2 Bedroom Furnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1150,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Luxury Apartment For Sale in Colombo 1,1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Colombo.02 Shangri La 02 Bedroom Apartment For...,1056,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
OnThree20 - 04 Bedroom Apartment for Sa...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
Luxury Apartment for Sale in Colombo 2 CA585,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.78571429
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.25
Move into one of the finest units at Shangri-La...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.25
Apartment for Sale in Shangri-la Residence / One...,1000,2,1,2,1,1,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.25
Two bedrooms apartment for sale in Shangri-la...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.14285714
"447 Luna Tower - Union Place, Colombo 02 | Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,26.03571429
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Furnished Brand New - 3 Bedrooms At Altair,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
"Altair, 03 Bedroom Unfurnished Appartment for...",1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
"Shangril-La, 02 Bedroom Unfurnished Apartment...",1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
"Penthouses in Colombo for sale Shangri-La, CCC,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Brand New 02 Bedroom Untouched Apartment for sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Luxury Apartment For Sale in Colombo 1,1170,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Apartment for Sale in Shangri-la Residence / One...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
CINNAMON LIFE Three Bedroom Apartment for sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Two bedrooms apartment for sale in Shangri-la...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
"447 Luna Tower - Union Place, Colombo 02 | Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Colombo.02 Shangri La 02 Bedroom Apartment For...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Furnished Brand New - 3 Bedrooms At Altair,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.71428571
Apartment for Sale - The Residences at One Galle...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.17857143
